id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada,objectid
52588,90098014,90098,14,TORRES,260T,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.57797867,6.27579455,ORIGEN-DESTINO,2A,REGLAMENTARIA,1
51532,90003015,90003,15,CIRCULAR ANTIHORARIO 302,302,CIRCULAR,AUTOBUSES POBLADO LAURELES,-75.59943687,6.22012318,ORIGEN-DESTINO,CIRCULAR IZQUIERDA 302,REGLAMENTARIA,2
52335,90075048,90075,48,KENNEDY,252,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58258531,6.2939057,DESTINO-ORIGEN,2A,REGLAMENTARIA,3
53497,90010041,90010,41,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.56457862,6.18185338,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,4
53687,90014054,90014,54,RUTA DE LA SALUD IZQUIERDA DIRECTA,309D,CIRCULAR,COINVETRANS,-75.56178556,6.25451609,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,5
53215,90015035,90015,35,CIRCULAR 315,315,CIRCULAR,SANTRA,-75.56905045,6.25008793,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA,6
50444,90085040,90085,40,METROCABLE LA AURORA,255ID,INTEGRADA,RÁPIDO SAN CRISTÓBAL,-75.63074435,6.2797657,DESTINO-ORIGEN,2A,REGLAMENTARIA,7
51513,90093032,90093,32,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59978095,6.27975844,ORIGEN-DESTINO,2A,REGLAMENTARIA,8
52062,90078010,90078,10,ROBLEDO AURES INTEGRADA,253IA,INTEGRADA,PALENQUE ROBLEDAL,-75.58778064,6.28025846,ORIGEN-DESTINO,2A,REGLAMENTARIA,9
53055,90002001,90002,1,CIRCULAR 286,286,CIRCULAR,COMBUSES,-75.57120003,6.28042232,ORIGEN-DESTINO,CIRCULAR 286,REGLAMENTARIA,10
51765,90070013,90070,13,ROBLEDO VILLA FLORA,250VF,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59465511,6.2783064,ORIGEN-DESTINO,2A,REGLAMENTARIA,11
52631,90095031,90095,31,CÓRDOBA,260C,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.57716129,6.27054522,DESTINO-ORIGEN,2A,REGLAMENTARIA,12
51502,90011051,90011,51,RUTA DE LA SALUD DERECHA,308,CIRCULAR,COINVETRANS,-75.59989196,6.26561312,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,13
52518,90107007,90107,7,ALFONSO LÓPEZ CALLE 94,261,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.57919215,6.29663225,ORIGEN-DESTINO,2B,REGLAMENTARIA,14
50194,90087001,90087,1,VEREDA EL LLANO - PARQUE SAN CRISTÓBAL,255V1,DIRECTA NO CENTRO,RÁPIDO SAN CRISTÓBAL,-75.64619223,6.29385508,ORIGEN-DESTINO,2A,REGLAMENTARIA,15
52906,90083038,90083,38,SAN CRISTÓBAL - DOÑA MARÍA,255,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.57310038,6.25047001,ORIGEN-DESTINO,2A,REGLAMENTARIA,16
53078,90081047,90081,47,NUEVO OCCIDENTE-LAS FLORES,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.570783,6.25094139,ORIGEN-DESTINO,2A,REGLAMENTARIA,17
51414,90061031,90061,31,BLANQUIZAL CALAZANÍA,246C,DIRECTA CENTRO,COOTRANSBLAN,-75.60155074,6.27022335,DESTINO-ORIGEN,2A,REGLAMENTARIA,18
51852,90092030,90092,30,NUEVO OCCIDENTE EL TIROL,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59228134,6.27402969,ORIGEN-DESTINO,2A,REGLAMENTARIA,19
51056,90007055,90007,55,DIRECTA CIRCULAR,310,CIRCULAR,COONATRA,-75.60858263,6.27245057,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,20
51660,90008011,90008,11,DIRECTA CIRCULAR,311,CIRCULAR,COONATRA,-75.59701202,6.26828774,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,21
52005,90001038,90001,38,CIRCULAR HORARIO 303,303,CIRCULAR,COONATRA,-75.58917218,6.20746663,DESTINO-ORIGEN,CIRCULAR DERECHA 303,REGLAMENTARIA,22
52877,90016041,90016,41,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.57344884,6.25059937,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA,23
51701,90088055,90088,55,VEREDA EL LLANO - CENTRO,255V1D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59636522,6.26436363,DESTINO-ORIGEN,2A,REGLAMENTARIA,24
50937,90006071,90006,71,CIRCULAR,301,CIRCULAR,COONATRA,-75.61233066,6.23275412,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,25
51264,90073043,90073,43,PAJARITO,250AP,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.60389297,6.2785029,DESTINO-ORIGEN,2A,REGLAMENTARIA,26
52115,90097005,90097,5,BRISAS,260BR,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58679453,6.28636542,ORIGEN-DESTINO,2A,REGLAMENTARIA,27
53429,90013051,90013,51,RUTA DE LA SALUD IZQUIERDA,309,CIRCULAR,COINVETRANS,-75.56554616,6.24590059,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,28
51874,90074035,90074,35,MARGARITAS,251,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59198213,6.27821351,DESTINO-ORIGEN,2A,REGLAMENTARIA,29
51191,90015067,90015,67,CIRCULAR 315,315,CIRCULAR,SANTRA,-75.60549355,6.23444265,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA,30
50365,90085045,90085,45,METROCABLE LA AURORA,255ID,INTEGRADA,RÁPIDO SAN CRISTÓBAL,-75.63590834,6.27772956,DESTINO-ORIGEN,2A,REGLAMENTARIA,31
50928,90081088,90081,88,NUEVO OCCIDENTE-LAS FLORES,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.61270127,6.28770244,DESTINO-ORIGEN,2A,REGLAMENTARIA,32
50815,90093078,90093,78,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.61586302,6.2777954,DESTINO-ORIGEN,2A,REGLAMENTARIA,33
52172,90077039,90077,39,AURES IZQUIERDA,253I,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58531498,6.28245356,DESTINO-ORIGEN,2A,REGLAMENTARIA,34
51538,90069003,90069,3,ROBLEDAL INTEGRADA,250IR,INTEGRADA,PALENQUE ROBLEDAL,-75.5993895,6.28744491,ORIGEN-DESTINO,2A,REGLAMENTARIA,35
51722,90010004,90010,4,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.59586028,6.26478162,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,36
52631,90106006,90106,6,PILARICA,254IB_TV 73,INTEGRADA,TRANSPORTE MEDELLÍN CASTILLA,-75.57716129,6.27054522,ORIGEN-DESTINO,2B,REGLAMENTARIA,37
51733,90082032,90082,32,SAN CRISTÓBAL -CONEXIÓN VIAL,255D,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59547166,6.27330907,DESTINO-ORIGEN,2A,REGLAMENTARIA,38
52086,90080014,90080,14,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.58740912,6.28013845,ORIGEN-DESTINO,2A,REGLAMENTARIA,39
51772,90061010,90061,10,BLANQUIZAL CALAZANÍA,246C,DIRECTA CENTRO,COOTRANSBLAN,-75.5943875,6.2691079,ORIGEN-DESTINO,2A,REGLAMENTARIA,40
50090,90091011,90091,11,IZQUIERDA VEREDA BOQUERÓN - PARQUE SAN CRISTÓBAL,255V3,DIRECTA NO CENTRO,RÁPIDO SAN CRISTÓBAL,-75.65558851,6.30824359,DESTINO-ORIGEN,2A,REGLAMENTARIA,41
52342,90007016,90007,16,DIRECTA CIRCULAR,310,CIRCULAR,COONATRA,-75.58247023,6.25659159,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,42
51935,90099055,90099,55,ÉXITO,267,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59102117,6.29062591,DESTINO-ORIGEN,2A,REGLAMENTARIA,43
52853,90002004,90002,4,CIRCULAR 286,286,CIRCULAR,COMBUSES,-75.57386261,6.27113722,ORIGEN-DESTINO,CIRCULAR 286,REGLAMENTARIA,44
51379,90016010,90016,10,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.60205612,6.23346709,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA,45
50312,90087013,90087,13,VEREDA EL LLANO - PARQUE SAN CRISTÓBAL,255V1,DIRECTA NO CENTRO,RÁPIDO SAN CRISTÓBAL,-75.63923843,6.28199638,DESTINO-ORIGEN,2A,REGLAMENTARIA,46
50871,90005004,90005,4,CIRCULAR,300,CIRCULAR,COONATRA,-75.61381658,6.23382152,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,47
53308,90073027,90073,27,PAJARITO,250AP,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.56737938,6.2518363,DESTINO-ORIGEN,2A,REGLAMENTARIA,48
52631,90097027,90097,27,BRISAS,260BR,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.57716129,6.27054522,DESTINO-ORIGEN,2A,REGLAMENTARIA,49
53733,90012022,90012,22,RUTA DE LA SALUD DERECHA DIRECTA,308D,CIRCULAR,COINVETRANS,-75.56094352,6.25109302,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,50
51555,90003001,90003,1,CIRCULAR ANTIHORARIO 302,302,CIRCULAR,AUTOBUSES POBLADO LAURELES,-75.59900134,6.25143374,ORIGEN-DESTINO,CIRCULAR IZQUIERDA 302,REGLAMENTARIA,51
53572,90013060,90013,60,RUTA DE LA SALUD IZQUIERDA,309,CIRCULAR,COINVETRANS,-75.56357657,6.26587498,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,52
50411,90083075,90083,75,SAN CRISTÓBAL - DOÑA MARÍA,255,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.6330182,6.27955853,DESTINO-ORIGEN,2A,REGLAMENTARIA,53
50815,90081073,90081,73,NUEVO OCCIDENTE-LAS FLORES,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.61586302,6.2777954,DESTINO-ORIGEN,2A,REGLAMENTARIA,54
51031,90063022,90063,22,BLANQUIZAL INTEGRADA,246I,INTEGRADA,COOTRANSBLAN,-75.60922855,6.27267034,DESTINO-ORIGEN,2A,REGLAMENTARIA,55
52234,90093056,90093,56,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.58403425,6.25765811,DESTINO-ORIGEN,2A,REGLAMENTARIA,56
52899,90077025,90077,25,AURES IZQUIERDA,253I,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.57317314,6.25223054,DESTINO-ORIGEN,2A,REGLAMENTARIA,57
51174,90057035,90057,35,BLANQUIZAL,246,DIRECTA CENTRO,COOTRANSBLAN,-75.60582366,6.2721589,DESTINO-ORIGEN,2A,REGLAMENTARIA,58
53510,90010058,90010,58,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.56446045,6.2490948,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,59
