id_ruta,nombre,longitud,codigo,sistema,tipo,empresa,recorrido,fecha
90001,CIRCULAR DERECHA 303,20830.0802499106,303,CIRCULAR DERECHA 303,CIRCULAR,COONATRA,ORIGEN_DESTINO,2018-08-01 00:00:00
90002,CIRCULAR 286,12713.8346625935,286,CIRCULAR 286,CIRCULAR,COMBUSES,ORIGEN_DESTINO,2024-08-27 00:00:00
90003,CIRCULAR IZQUIERDA 302,21009.7757091315,302,CIRCULAR IZQUIERDA 302,CIRCULAR,AUTOBUSES POBLADO LAURELES,ORIGEN_DESTINO,2024-01-11 00:00:00
90004,TERMINAL DEL NORTE-TERMINAL DEL SUR,20438.530242029,313,CIRCULAR 313,CIRCULAR,COMBUSES,ORIGEN_DESTINO,2024-05-11 00:00:00
90005,CIRCULAR,27561.2623026223,300,"CIRCULAR COONATRA 300, 301, 310, 311",CIRCULAR,COONATRA,ORIGEN_DESTINO,2022-03-28 00:00:00
90006,CIRCULAR,28390.4573185279,301,"CIRCULAR COONATRA 300, 301, 310, 311",CIRCULAR,COONATRA,ORIGEN_DESTINO,2024-11-05 00:00:00
90007,DIRECTA CIRCULAR,19864.9612875215,310,"CIRCULAR COONATRA 300, 301, 310, 311",CIRCULAR,COONATRA,ORIGEN_DESTINO,2021-11-11 00:00:00
90008,DIRECTA CIRCULAR,28118.2994709099,311,"CIRCULAR COONATRA 300, 301, 310, 311",CIRCULAR,COONATRA,ORIGEN_DESTINO,2021-11-11 00:00:00
90009,COMERCIAL HOTELERA DERECHA,36146.6053618262,304,"CIRCULAR 304, 305, 308, 308D, 309, 309D",CIRCULAR,INVETRANS,ORIGEN_DESTINO,2022-03-28 00:00:00
90010,COMERCIAL HOTELERA IZQUIERDA,35542.9314861071,305,"CIRCULAR 304, 305, 308, 308D, 309, 309D",CIRCULAR,INVETRANS,ORIGEN_DESTINO,2018-08-01 00:00:00
90011,RUTA DE LA SALUD DERECHA,24315.0268190151,308,"CIRCULAR 304, 305, 308, 308D, 309, 309D",CIRCULAR,COINVETRANS,ORIGEN_DESTINO,2018-08-01 00:00:00
90012,RUTA DE LA SALUD DERECHA DIRECTA,22423.8485416015,308D,"CIRCULAR 304, 305, 308, 308D, 309, 309D",CIRCULAR,COINVETRANS,ORIGEN_DESTINO,2024-08-27 00:00:00
90013,RUTA DE LA SALUD IZQUIERDA,25561.0447553816,309,"CIRCULAR 304, 305, 308, 308D, 309, 309D",CIRCULAR,COINVETRANS,ORIGEN_DESTINO,2024-08-27 00:00:00
90014,RUTA DE LA SALUD IZQUIERDA DIRECTA,24498.4105965081,309D,"CIRCULAR 304, 305, 308, 308D, 309, 309D",CIRCULAR,COINVETRANS,ORIGEN_DESTINO,2024-08-27 00:00:00
90015,CIRCULAR 315,16697.5448554879,315,CIRCULAR 315 Y 316,CIRCULAR,SANTRA,ORIGEN_DESTINO,2022-03-28 00:00:00
