objectid;direccion;localizacion;link_foto;link_detalle;longitud;latitud
1;CR 83C CL 33;EL CASTILLO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN77.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75608014;6238633
2;CR 89 CL 44;EVEREST;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN78.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75607371;6252148
3;CR 108BB CL 62D;TUNEL DE OCCIDENTE;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN79.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75619508;6276615
4;CR 65 CL 71;LA FLORIDA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN80.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75577733;6270738
5;CR 134 CL 59;VIVERO TUNEL DE OCCIDENTE;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN81.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75640979;6276098
6;CR 63A CL 103;QUEBRADA TINAJAS;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN17.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7556226875;629541048
7;CR 63A CL 38;ESTACIOM CISNEROS;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557526762;624913212
8;CR 62 CL 40;GLORIETA EXPOSICIONES;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN54.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557537977;623953197
9;CR 57 CL 58A;FATELARES;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN46.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557067609;625804522
10;CR 52 CL14;CENTRO EMPRESARIAL OLAYA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN26.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7558049834;621903155
11;CR 43A CL 12 SUR;VIRGEN AGUACATALA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN27.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557630873;619274528
12;CR 62 CL 55;MINORISTA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN64.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75574856;6257571
