id_ruta;nombre;codigo;sistema;tipo;empresa;longitud;recorrido;from_date
90111;12 DE OCTUBRE - CALLE 90;263;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1998207;ORIGEN_DESTINO;01/08/2018 0:00
90113;12 DE OCTUBRE - ESTACIÓN TRICENTENARIO;263I;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;884236;ORIGEN_DESTINO;27/08/2024 0:00
90114;12 DE OCTUBRE - ESTACIÓN TRICENTENARIO;263II;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;222125;ORIGEN_DESTINO;27/08/2024 0:00
90307;20 DE JULIO;225I-1;8A;INTEGRADA;METROSAN;308533;ORIGEN_DESTINO;27/08/2024 0:00
90243;ALCÁZARES DE SUCRE;91;6F;DIRECTA CENTRO;COPATRA;1768884;ORIGEN_DESTINO;27/08/2024 0:00
90107;ALFONSO LÓPEZ CALLE 94;261;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1762354;ORIGEN_DESTINO;27/08/2024 0:00
90104;ALFONSO LÓPEZ - VIEJO TERMINAL;261A;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1940059;ORIGEN_DESTINO;27/08/2024 0:00
90129;ALPUJARRA - ORIENTAL SENTIDO ANTIHORARIO;ANILLO 3AH CARRERA 65;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1967655;ORIGEN_DESTINO;27/08/2024 0:00
90137;ALPUJARRA - ORIENTAL SENTIDO ANTIHORARIO;ANILLO 3AH CARRERA 73;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1678267;ORIGEN_DESTINO;27/08/2024 0:00
90130;ALPUJARRA - ORIENTAL SENTIDO HORARIO;ANILLO 3H CARRERA 65;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;2357184;ORIGEN_DESTINO;27/08/2024 0:00
90131;ALPUJARRA - ORIENTAL SENTIDO HORARIO;ANILLO 3H CARRERA 65 HORARIO ESP;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;359491;ORIGEN_DESTINO;27/08/2024 0:00
90138;ALPUJARRA - ORIENTAL SENTIDO HORARIO;ANILLO 3H CARRERA 73;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1627933;ORIGEN_DESTINO;27/08/2024 0:00
90209;ARANJUEZ ANILLO DERECHA;041D;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;1465849;ORIGEN_DESTINO;27/08/2024 0:00
90210;ARANJUEZ ANILLO IZQUIERDA;041I;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;1385228;ORIGEN_DESTINO;27/08/2024 0:00
90211;ARANJUEZ INTERMEDIA;42;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;1889335;ORIGEN_DESTINO;27/08/2024 0:00
90076;AURES DERECHA;253D;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;183172;ORIGEN_DESTINO;01/04/2020 0:00
90077;AURES IZQUIERDA;253I;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;1869867;ORIGEN_DESTINO;01/04/2020 0:00
90132;AV. GREIFF - PUENTE HORACIO TORO;ANILLO F1 CARRERA 65;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;1573607;ORIGEN_DESTINO;27/08/2024 0:00
90139;AV. GREIFF - PUENTE HORACIO TORO;ANILLO F1 CARRERA 73;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;132162;ORIGEN_DESTINO;27/08/2024 0:00
90197;ÁVILA;113B;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;1583541;ORIGEN_DESTINO;27/08/2024 0:00
90199;ÁVILA - CATALUÑA;113;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;1738051;ORIGEN_DESTINO;27/08/2024 0:00
90183;ÁVILA-IGLESIA CATALUÑA;102;6A;DIRECTA CENTRO;COOTRANSCATALUÑA;1720829;ORIGEN_DESTINO;27/08/2024 0:00
90184;ÁVILA-IGLESIA CATALUÑA;102D;6A;DIRECTA CENTRO;COOTRANSCATALUÑA;1505548;ORIGEN_DESTINO;27/08/2024 0:00
90133;AV. REGIONAL - SAN DIEGO;ANILLO F2 CARRERA 65;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;214549;ORIGEN_DESTINO;27/08/2024 0:00
