id_ruta;nombre;codigo;recorrido;fecha;sistema;tipo;empresa;longitud
90111;12 DE OCTUBRE - CALLE 90;263;ORIGEN_DESTINO;2018-08-01;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;19982.0699437667
90113;12 DE OCTUBRE - ESTACIÓN TRICENTENARIO;263I;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;8842.359411125399
90114;12 DE OCTUBRE - ESTACIÓN TRICENTENARIO;263II;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;2221.247901954828
90307;20 DE JULIO;225I-1;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;METROSAN;3085.3297738651017
90243;ALCÁZARES DE SUCRE;91;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COPATRA;17688.8361174609
90107;ALFONSO LÓPEZ CALLE 94;261;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;17623.540845479525
90104;ALFONSO LÓPEZ - VIEJO TERMINAL;261A;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;19400.58712767572
90129;ALPUJARRA - ORIENTAL SENTIDO ANTIHORARIO;ANILLO 3AH CARRERA 65;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;19676.5513745476
90137;ALPUJARRA - ORIENTAL SENTIDO ANTIHORARIO;ANILLO 3AH CARRERA 73;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;16782.674457086316
90130;ALPUJARRA - ORIENTAL SENTIDO HORARIO;ANILLO 3H CARRERA 65;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;23571.843385673747
90131;ALPUJARRA - ORIENTAL SENTIDO HORARIO;ANILLO 3H CARRERA 65 HORARIO ESP;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;35949.09657082992
90138;ALPUJARRA - ORIENTAL SENTIDO HORARIO;ANILLO 3H CARRERA 73;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;16279.332792930272
90209;ARANJUEZ ANILLO DERECHA;041D;ORIGEN_DESTINO;2024-08-27;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;14658.486622962286
90210;ARANJUEZ ANILLO IZQUIERDA;041I;ORIGEN_DESTINO;2024-08-27;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;13852.28494302658
90211;ARANJUEZ INTERMEDIA;42;ORIGEN_DESTINO;2024-08-27;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;18893.34619920732
90076;AURES DERECHA;253D;ORIGEN_DESTINO;2020-04-01;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;18317.2032566765
90077;AURES IZQUIERDA;253I;ORIGEN_DESTINO;2020-04-01;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;18698.666830455943
90132;AV. GREIFF - PUENTE HORACIO TORO;ANILLO F1 CARRERA 65;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;15736.074870565968
90139;AV. GREIFF - PUENTE HORACIO TORO;ANILLO F1 CARRERA 73;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;13216.19795551758
90197;ÁVILA;113B;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;15835.414485843932
90199;ÁVILA - CATALUÑA;113;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;17380.512810412067
90183;ÁVILA-IGLESIA CATALUÑA;102;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;COOTRANSCATALUÑA;17208.28906796301
90184;ÁVILA-IGLESIA CATALUÑA;102D;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;COOTRANSCATALUÑA;15055.479372842668
90133;AV. REGIONAL - SAN DIEGO;ANILLO F2 CARRERA 65;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;21454.904503033496
90291;BARRIO CRISTÓBAL-ORIENTAL;200;ORIGEN_DESTINO;2018-08-01;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;15632.53099372814
90299;BELENCITO-CORAZÓN-ORIENTAL;203 BELENCITO;ORIGEN_DESTINO;2018-08-01;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;18053.669821767333
90143;BELÉN LA GLORIA;172;ORIGEN_DESTINO;2020-06-05;3A;DIRECTA CENTRO;COOTRABEL;26659.04524915648
90145;BELÉN LA NUBIA;178;ORIGEN_DESTINO;2022-03-28;3A;DIRECTA CENTRO;COOTRABEL;24512.22560151257
90141;BELÉN LAS PLAYAS;170;ORIGEN_DESTINO;2022-03-28;3A;DIRECTA CENTRO;COOTRABEL;22241.82224301353
90236;BELLO ORIENTE;57;ORIGEN_DESTINO;2024-08-27;6E;DIRECTA CENTRO;COOPETRANSA;27519.41938612086
